dataset,category,text_source,rank,word,frequency,relative_frequency_percent,document_frequency,document_percentage
ag_news_test,all,title + description,53,billion,219,0.123542,178,2.342105
ag_news_test,all,title + description,54,sales,217,0.122414,155,2.039474
ag_news_test,all,title + description,55,minister,217,0.122414,195,2.565789
ag_news_test,all,title + description,56,washington,217,0.122414,200,2.631579
ag_news_test,all,title + description,57,com,214,0.120722,140,1.842105
ag_news_test,all,title + description,58,third,214,0.120722,201,2.644737
ag_news_test,all,title + description,59,talks,212,0.119594,154,2.026316
ag_news_test,all,title + description,60,service,208,0.117337,172,2.263158
ag_news_test,all,title + description,61,european,206,0.116209,180,2.368421
ag_news_test,all,title + description,62,city,206,0.116209,177,2.328947
ag_news_test,all,title + description,63,officials,205,0.115645,198,2.605263
ag_news_test,all,title + description,64,business,205,0.115645,181,2.381579
ag_news_test,all,title + description,65,former,203,0.114517,189,2.486842
ag_news_test,all,title + description,66,killed,203,0.114517,162,2.131579
ag_news_test,all,title + description,67,month,202,0.113952,191,2.513158
ag_news_test,all,title + description,68,set,200,0.112824,183,2.407895
ag_news_test,all,title + description,69,just,197,0.111132,195,2.565789
ag_news_test,all,title + description,70,international,197,0.111132,188,2.473684
ag_news_test,all,title + description,71,profit,196,0.110568,136,1.789474
ag_news_test,all,title + description,72,chief,194,0.109439,172,2.263158
ag_news_test,all,title + description,73,home,192,0.108311,174,2.289474
ag_news_test,all,title + description,74,lead,192,0.108311,163,2.144737
ag_news_test,all,title + description,75,states,191,0.107747,184,2.421053
ag_news_test,all,title + description,76,league,191,0.107747,166,2.184211
ag_news_test,all,title + description,77,technology,190,0.107183,177,2.328947
ag_news_test,all,title + description,78,there,189,0.106619,175,2.302632
ag_news_test,all,title + description,79,shares,189,0.106619,152,2.0
ag_news_test,all,title + description,80,victory,189,0.106619,177,2.328947
ag_news_test,all,title + description,81,won,187,0.105491,179,2.355263
ag_news_test,all,title + description,82,final,184,0.103798,155,2.039474
ag_news_test,all,title + description,83,american,184,0.103798,168,2.210526
ag_news_test,all,title + description,84,computer,183,0.103234,159,2.092105
ag_news_test,all,title + description,85,largest,183,0.103234,178,2.342105
ag_news_test,all,title + description,86,take,183,0.103234,170,2.236842
ag_news_test,all,title + description,87,japan,181,0.102106,130,1.710526
ag_news_test,all,title + description,88,british,180,0.101542,148,1.947368
ag_news_test,all,title + description,89,expected,180,0.101542,173,2.276316
ag_news_test,all,title + description,90,bid,179,0.100978,148,1.947368
ag_news_test,all,title + description,91,search,179,0.100978,104,1.368421
ag_news_test,all,title + description,92,between,177,0.099849,167,2.197368
ag_news_test,all,title + description,93,india,177,0.099849,116,1.526316
ag_news_test,all,title + description,94,companies,175,0.098721,161,2.118421
ag_news_test,all,title + description,95,major,175,0.098721,162,2.131579
ag_news_test,all,title + description,96,make,174,0.098157,163,2.144737
ag_news_test,all,title + description,97,least,174,0.098157,155,2.039474
ag_news_test,all,title + description,98,say,173,0.097593,167,2.197368
ag_news_test,all,title + description,99,cup,173,0.097593,132,1.736842
ag_news_test,all,title + description,100,federal,171,0.096465,159,2.092105
