sample_number,position,token_id,token,predicted_class_index,predicted_class_name,output_class_index,output_class_name,signed_shap,abs_shap,is_predicted_class
74,23,5,2026,0,bola,2,money,0.04725084453821182,0.04725084453821182,False
74,23,5,2026,0,bola,3,tekno,0.010284234769642353,0.010284234769642353,False
74,24,62,tidak,0,bola,0,bola,-0.07141119241714478,0.07141119241714478,True
74,24,62,tidak,0,bola,1,global,0.056664660573005676,0.056664660573005676,False
74,24,62,tidak,0,bola,2,money,-0.008284091018140316,0.008284091018140316,False
74,24,62,tidak,0,bola,3,tekno,0.013049321249127388,0.013049321249127388,False
74,25,24,akan,0,bola,0,bola,-0.11226065456867218,0.11226065456867218,True
74,25,24,akan,0,bola,1,global,0.09734341502189636,0.09734341502189636,False
74,25,24,akan,0,bola,2,money,0.014700308442115784,0.014700308442115784,False
74,25,24,akan,0,bola,3,tekno,0.021031947806477547,0.021031947806477547,False
74,26,672,mudah,0,bola,0,bola,-0.16021199524402618,0.16021199524402618,True
74,26,672,mudah,0,bola,1,global,0.028819823637604713,0.028819823637604713,False
74,26,672,mudah,0,bola,2,money,0.06754906475543976,0.06754906475543976,False
74,26,672,mudah,0,bola,3,tekno,0.05509287491440773,0.05509287491440773,False
74,27,12,indonesia,0,bola,0,bola,-0.01825759932398796,0.01825759932398796,True
74,27,12,indonesia,0,bola,1,global,-0.04464045912027359,0.04464045912027359,False
74,27,12,indonesia,0,bola,2,money,-0.0012298966757953167,0.0012298966757953167,False
74,27,12,indonesia,0,bola,3,tekno,0.035418201237916946,0.035418201237916946,False
74,28,222,melawan,0,bola,0,bola,-0.09169188141822815,0.09169188141822815,True
74,28,222,melawan,0,bola,1,global,0.037143774330616,0.037143774330616,False
74,28,222,melawan,0,bola,2,money,0.01987505331635475,0.01987505331635475,False
74,28,222,melawan,0,bola,3,tekno,0.03048870898783207,0.03048870898783207,False
74,29,40,china,0,bola,0,bola,-0.09309344738721848,0.09309344738721848,True
74,29,40,china,0,bola,1,global,0.07919822633266449,0.07919822633266449,False
74,29,40,china,0,bola,2,money,-0.03747877851128578,0.03747877851128578,False
74,29,40,china,0,bola,3,tekno,0.02558600902557373,0.02558600902557373,False
74,30,3,di,0,bola,0,bola,-0.034758951514959335,0.034758951514959335,True
74,30,3,di,0,bola,1,global,0.019823448732495308,0.019823448732495308,False
74,30,3,di,0,bola,2,money,0.0,0.0,False
74,30,3,di,0,bola,3,tekno,0.006968902889639139,0.006968902889639139,False
74,31,60,laga,0,bola,0,bola,0.16205212473869324,0.16205212473869324,True
74,31,60,laga,0,bola,1,global,-0.04654558748006821,0.04654558748006821,False
74,31,60,laga,0,bola,2,money,-0.06707039475440979,0.06707039475440979,False
74,31,60,laga,0,bola,3,tekno,-0.04090915247797966,0.04090915247797966,False
74,32,140,pertama,0,bola,0,bola,0.05213576555252075,0.05213576555252075,True
74,32,140,pertama,0,bola,1,global,-0.0076187304221093655,0.0076187304221093655,False
74,32,140,pertama,0,bola,2,money,0.0,0.0,False
74,32,140,pertama,0,bola,3,tekno,-0.01655798964202404,0.01655798964202404,False
75,0,977,putin,1,global,0,bola,0.0,0.0,False
75,0,977,putin,1,global,1,global,0.03655487298965454,0.03655487298965454,True
75,0,977,putin,1,global,2,money,-0.020842483267188072,0.020842483267188072,False
75,0,977,putin,1,global,3,tekno,-0.028986096382141113,0.028986096382141113,False
75,1,1755,tawarkan,1,global,0,bola,-0.21126540005207062,0.21126540005207062,False
75,1,1755,tawarkan,1,global,1,global,0.0755297988653183,0.0755297988653183,True
75,1,1755,tawarkan,1,global,2,money,0.10816708952188492,0.10816708952188492,False
75,1,1755,tawarkan,1,global,3,tekno,0.027451040223240852,0.027451040223240852,False
75,2,1041,bantuan,1,global,0,bola,0.022666797041893005,0.022666797041893005,False
75,2,1041,bantuan,1,global,1,global,0.002037227153778076,0.002037227153778076,True
75,2,1041,bantuan,1,global,2,money,0.015149758197367191,0.015149758197367191,False
75,2,1041,bantuan,1,global,3,tekno,-0.037329863756895065,0.037329863756895065,False
75,3,141,sebut,1,global,0,bola,0.06780489534139633,0.06780489534139633,False
75,3,141,sebut,1,global,1,global,-0.05148521065711975,0.05148521065711975,True
75,3,141,sebut,1,global,2,money,0.033231206238269806,0.033231206238269806,False
75,3,141,sebut,1,global,3,tekno,-0.04915647581219673,0.04915647581219673,False
75,4,182,rusia,1,global,0,bola,0.08195459842681885,0.08195459842681885,False
75,4,182,rusia,1,global,1,global,-0.03496413305401802,0.03496413305401802,True
75,4,182,rusia,1,global,2,money,-0.03307867795228958,0.03307867795228958,False
75,4,182,rusia,1,global,3,tekno,-0.016769463196396828,0.016769463196396828,False
75,5,130,siap,1,global,0,bola,0.051386307924985886,0.051386307924985886,False
75,5,130,siap,1,global,1,global,-0.09930170327425003,0.09930170327425003,True
75,5,130,siap,1,global,2,money,0.04645761847496033,0.04645761847496033,False
75,5,130,siap,1,global,3,tekno,0.0,0.0,False
75,6,3535,angkut,1,global,0,bola,0.3920624554157257,0.3920624554157257,False
75,6,3535,angkut,1,global,1,global,-0.22541683912277222,0.22541683912277222,True
75,6,3535,angkut,1,global,2,money,-0.022755494341254234,0.022755494341254234,False
75,6,3535,angkut,1,global,3,tekno,-0.14298942685127258,0.14298942685127258,False
75,7,1357,uranium,1,global,0,bola,0.022570403292775154,0.022570403292775154,False
75,7,1357,uranium,1,global,1,global,-0.02234742045402527,0.02234742045402527,True
