rank,token_id,token,total_abs_shap,mean_abs_shap,total_abs_predicted_class_shap,mean_abs_predicted_class_shap,mean_signed_predicted_class_shap,occurrence_count,normalized_global_importance
51,141,sebut,0.6954800002276897,0.11591333337128162,0.865663968026638,0.14427732800443968,0.044628494729598366,6,0.002480522859764934
52,35,hingga,0.6769824828952551,0.09671178327075072,0.673438171390444,0.09620545305577773,0.02766922681725451,7,0.0024145489790250415
53,854,spbu,0.6767307855188847,0.16918269637972116,0.7504968431312591,0.18762421078281477,-0.027417892881203443,4,0.002413651266516234
54,1405,solar,0.671973705291748,0.335986852645874,0.5689961910247803,0.28449809551239014,-0.28449809551239014,2,0.002396684500764113
55,28,tak,0.6707795150578022,0.16769487876445055,0.7806708519347012,0.1951677129836753,0.1933554782299325,4,0.0023924252608532016
56,2500,golongan,0.6590646356344223,0.21968821187814078,0.5213694125413895,0.17378980418046316,0.06678725779056549,3,0.002350642569475203
57,103,militer,0.6582995131611824,0.09404278759445463,0.9470924530178308,0.1352989218596901,0.09508937038481236,7,0.0023479136573788524
58,44,lebih,0.6570503786206245,0.10950839643677075,0.6683874577283859,0.11139790962139766,0.0995023287832737,6,0.002343458451216545
59,74,league,0.6419035405851901,0.08023794257314876,1.2248784825205803,0.15310981031507254,0.13204451045021415,8,0.00228943521835902
60,421,gratis,0.6309522092342377,0.12619044184684752,0.6881724447011948,0.13763448894023894,0.061935698986053465,5,0.0022503758237653517
61,1412,perbankan,0.6256736814975739,0.15641842037439346,0.9365334212779999,0.23413335531949997,-0.01530010998249054,4,0.0022315492454131184
62,262,media,0.6253369431942701,0.08933384902775288,0.9497010447084904,0.13567157781549863,-0.12417254011545863,7,0.0022303482230130066
63,920,solusi,0.622663140296936,0.622663140296936,0.7990344166755676,0.7990344166755676,-0.7990344166755676,1,0.0022208117457495746
64,138,tetap,0.6225047055631876,0.07781308819539845,0.8141911271959543,0.10177389089949429,-0.029103698441758752,8,0.0022202466669856776
65,226,9,0.618799202144146,0.12375984042882919,0.5913894400000572,0.11827788800001145,0.10178361684083939,5,0.0022070304912008083
66,162,bahwa,0.6169872917234898,0.12339745834469795,1.0869076699018478,0.21738153398036958,-0.048272883892059325,5,0.002200568069252208
67,189,nasional,0.6100905537605286,0.3050452768802643,0.6513972282409668,0.3256986141204834,-0.07052755355834961,2,0.0021759699267185147
68,643,msci,0.6098523736000061,0.15246309340000153,1.1036800891160965,0.2759200222790241,0.06140197440981865,4,0.0021751204251760905
69,985,bahlil,0.6033225879073143,0.15083064697682858,0.8453360572457314,0.21133401431143284,0.16524569876492023,4,0.0021518310672149913
70,37,liga,0.6028241366147995,0.10047068943579991,1.1830585822463036,0.19717643037438393,0.1842228484650453,6,0.0021500532737124354
71,536,malam,0.5969575196504593,0.14923937991261482,0.3734873430803418,0.09337183577008545,-0.02509138244204223,4,0.0021291291961188794
72,60,laga,0.5957240741699934,0.0992873456949989,1.1728517580777407,0.19547529301295677,0.15503199864178896,6,0.0021247299470972428
73,96,pasar,0.595553819090128,0.08507911701287542,0.652587833814323,0.09322683340204614,-0.011170406027563981,7,0.0021241227094808356
74,19,bisa,0.5935395173728466,0.05935395173728466,0.7705448530614376,0.07705448530614376,0.03600124083459377,10,0.0021169384317811972
75,41,piala,0.5923214424401522,0.07404018030501902,1.1550148576498032,0.1443768572062254,0.0701794559136033,8,0.0021125940038832476
76,101,pro,0.5870389640331268,0.1467597410082817,1.1216028034687042,0.28040070086717606,0.28040070086717606,4,0.0020937533349343904
77,45,3,0.5848943516612053,0.19496478388706842,0.9717086032032967,0.3239028677344322,-0.2433974320689837,3,0.002086104286777514
78,2552,tiap,0.5848768949508667,0.29243844747543335,0.34248634427785873,0.17124317213892937,-0.10093559697270393,2,0.002086042025074752
79,1257,tempat,0.583708643913269,0.09728477398554485,0.6917004971764982,0.11528341619608302,0.0660801917159309,6,0.002081875300792592
80,179,u17,0.5587694169953465,0.0931282361658911,1.0930792889557779,0.18217988149262965,0.17018497075575093,6,0.001992926197361122
81,2925,nyepi,0.555570013821125,0.13889250345528126,1.0617975741624832,0.2654493935406208,-0.0731024257838726,4,0.0019815150960948557
82,121,serangan,0.5552370995283127,0.27761854976415634,0.47962792962789536,0.23981396481394768,-0.1524146981537342,2,0.001980327712541924
83,22,5,0.5547899464145303,0.06934874330181628,0.7677838504314423,0.09597298130393028,-0.007204710505902767,8,0.001978732880885817
84,1780,modern,0.5329930372536182,0.17766434575120607,0.4852011762559414,0.16173372541864714,-0.1551312766969204,3,0.0019009912759106041
85,32,dunia,0.5266709011048079,0.08777848351746798,0.9745063688606024,0.16241772814343372,0.00700586133946975,6,0.001878442527945837
86,3245,c100,0.5242924243211746,0.17476414144039154,0.6708900034427643,0.2236300011475881,0.05700915058453878,3,0.0018699593709444985
87,180,link,0.5233504101634026,0.13083760254085064,0.5895689334720373,0.14739223336800933,0.14739223336800933,4,0.0018665995508895569
88,956,qatar,0.5219966396689415,0.26099831983447075,0.37906064838171005,0.18953032419085503,-0.18953032419085503,2,0.0018617711465396308
89,166,oleh,0.5169201418757439,0.1723067139585813,0.6080575622618198,0.20268585408727327,0.18400321279962858,3,0.0018436651351238455
90,170,meski,0.5148106142878532,0.08580176904797554,0.8963865153491497,0.14939775255819163,-0.0953651424497366,6,0.0018361412215629172
91,147,jika,0.5129864905029535,0.08549774841715892,0.7379358373582363,0.12298930622637272,0.032810887321829796,6,0.0018296352390098556
92,368,pertamina,0.5109857395291328,0.1277464348822832,0.8504104688763618,0.21260261721909046,0.21260261721909046,4,0.0018224992918573358
93,55,resmi,0.5079375430941582,0.10158750861883163,0.6403422066941857,0.12806844133883716,0.032737297005951405,5,0.0018116274897414832
94,20,dalam,0.498123025521636,0.0622653781902045,0.6413385081104934,0.08016731351381168,0.010706466215196997,8,0.0017766226942215033
95,555,impor,0.4939905218780041,0.16466350729266802,0.9663337841629982,0.32211126138766605,0.32211126138766605,3,0.0017618835647674068
96,90,minyak,0.4931016080081463,0.09862032160162926,0.557418942451477,0.11148378849029542,0.003764486312866211,5,0.0017587131340234278
97,662,jumbo,0.49144965410232544,0.12286241352558136,0.631666399538517,0.15791659988462925,0.011436725035309792,4,0.001752821218475425
98,87,donald,0.4877412412315607,0.09754824824631214,0.8122096136212349,0.16244192272424698,0.14267940074205399,5,0.0017395946657400956
99,97,cek,0.4869469180703163,0.12173672951757908,0.35302526131272316,0.08825631532818079,0.08825631532818079,4,0.0017367616054668133
100,298,20,0.48394689708948135,0.12098672427237034,0.2524549812078476,0.0631137453019619,0.017107758671045303,4,0.0017260616275806063
101,75,united,0.4803171753883362,0.09606343507766724,0.9945475682616234,0.19890951365232468,0.11645185202360153,5,0.0017131157374740212
102,107,baterai,0.47839444130659103,0.11959861032664776,0.6995329558849335,0.17488323897123337,0.17488323897123337,4,0.0017062580480487945
103,33,tengah,0.4739804808050394,0.0789967468008399,0.563636178150773,0.09393936302512884,0.08508578843126695,6,0.001690515064896707
104,145,terhadap,0.46569158881902695,0.09313831776380539,0.6437947452068329,0.1287589490413666,0.005114012956619262,5,0.0016609516180014765
105,73,sebagai,0.46154800802469254,0.09230960160493851,0.5419382825493813,0.10838765650987625,0.028275378048419952,5,0.0016461729804011652
106,1336,mengancam,0.4515080787241459,0.15050269290804863,0.5347149930894375,0.17823833102981249,-0.08462182804942131,3,0.0016103642236687265
107,82,atas,0.450365181080997,0.11259129527024925,0.7620556436595507,0.19051391091488767,0.1329136172280414,4,0.0016062879256741414
108,267,gagal,0.44728508964180946,0.11182127241045237,0.8923667594790459,0.22309168986976147,0.1130435224622488,4,0.0015953023657406138
109,2986,hancur,0.4468536078929901,0.4468536078929901,0.6255452632904053,0.6255452632904053,-0.6255452632904053,1,0.001593763428113123
110,207,15,0.44620512053370476,0.1487350401779016,0.5120802000164986,0.1706934000054995,-0.11766232798496883,3,0.0015914505108208224
111,249,14,0.44534437358379364,0.1484481245279312,0.6410757303237915,0.2136919101079305,0.2136919101079305,3,0.001588380541181108
112,8387,pengantin,0.44261860847473145,0.22130930423736572,0.24583160877227783,0.12291580438613892,-0.0669226348400116,2,0.001578658733708334
113,61,kini,0.44213904812932014,0.08842780962586402,0.4724295102059841,0.09448590204119682,0.02222542241215706,5,0.0015769483173066546
114,113,jadwal,0.44039427395910025,0.07339904565985005,0.7776243388652802,0.1296040564775467,0.0374364306529363,6,0.0015707253458151077
115,5625,reaper,0.43823134899139404,0.43823134899139404,0.24563322961330414,0.24563322961330414,-0.24563322961330414,1,0.001563010983325036
116,65,tahun,0.435173824429512,0.072528970738252,0.4610809497535229,0.07684682495892048,0.030288999900221825,6,0.0015521059111913182
117,796,makan,0.4345129691064358,0.10862824227660894,0.28453323617577553,0.07113330904394388,-0.01148452702909708,4,0.0015497488818944996
118,2517,cabut,0.4303436130285263,0.21517180651426315,0.27562254667282104,0.13781127333641052,0.13781127333641052,2,0.0015348783132823635
119,761,memanas,0.4296697825193405,0.21483489125967026,0.40270449221134186,0.20135224610567093,-0.11560716480016708,2,0.0015324750062410465
120,1960,terdapat,0.427683025598526,0.427683025598526,0.5762423872947693,0.5762423872947693,-0.5762423872947693,1,0.0015253889707586988
121,404,laptop,0.42637237161397934,0.14212412387132645,0.5764493271708488,0.19214977572361627,0.08045774449904759,3,0.0015207143472341607
122,62,tidak,0.41769206523895264,0.08353841304779053,0.5571844577789307,0.11143689155578614,0.08287241458892822,5,0.0014897548683333042
123,468,cukup,0.4156472198665142,0.10391180496662855,0.3878423012793064,0.0969605753198266,-0.0690218722447753,4,0.0014824616525839548
124,582,al,0.41348666325211525,0.08269733265042305,0.7656053230166435,0.1531210646033287,0.012014977633953094,5,0.0014747557371441458
125,675,f,0.41053083539009094,0.20526541769504547,0.4301464110612869,0.21507320553064346,-0.15400081127882004,2,0.0014642133799535996
126,88,juta,0.40390294790267944,0.20195147395133972,0.38739001750946045,0.19369500875473022,0.19369500875473022,2,0.001440574128761485
127,81,timnas,0.4035940058529377,0.08071880117058754,0.8582898788154125,0.1716579757630825,0.1716579757630825,5,0.0014394722454341771
128,600,sosial,0.4035572372376919,0.10088930930942297,0.41123923659324646,0.10280980914831161,0.055911239236593246,4,0.0014393411052279752
129,343,laut,0.40257033705711365,0.08051406741142272,0.5789029374718666,0.11578058749437332,0.08638739734888076,5,0.0014358211931421799
130,68,0,0.39923039078712463,0.19961519539356232,0.7483195960521698,0.3741597980260849,-0.11662070453166962,2,0.0014239088260426486
131,115,inggris,0.3974137417972088,0.07948274835944176,0.6246683318167925,0.1249336663633585,-0.0671435322612524,5,0.0014174295033501485
132,503,kereta,0.39440735056996346,0.09860183764249086,0.6554567441344261,0.16386418603360653,-0.04841909371316433,4,0.0014067068051242652
133,2292,caption,0.3941674083471298,0.1970837041735649,0.529276505112648,0.264638252556324,-0.07402011007070541,2,0.0014058510189498723
134,451,19,0.393316175788641,0.13110539192954698,0.5173667818307877,0.1724555939435959,0.024983391165733337,3,0.0014028149836654406
135,206,gol,0.3924927096813917,0.06541545161356528,0.7961834780871868,0.13269724634786448,0.08553965948522091,6,0.0013998779811598262
136,52,negara,0.3921853080391884,0.07843706160783767,0.5439993999898434,0.10879987999796867,0.10879987999796867,5,0.0013987815919029604
137,341,mau,0.3919270932674408,0.3919270932674408,0.5178029537200928,0.5178029537200928,-0.5178029537200928,1,0.001397860634227917
