importance_rank,shap_sample_position,original_test_index,document_id,selection_type,actual_index,actual_label,predicted_index,predicted_label,token_id,token,signed_shap,absolute_shap,occurrence_count,direction
13,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,102,cara,0.004603993729688227,0.008498839102685452,2,mendukung_prediksi
14,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,7,ini,0.005564332008361816,0.008406027220189571,1,mendukung_prediksi
15,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,50,ada,-0.0004494696040637791,0.007713381666690111,1,menahan_prediksi
16,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,279,masa,0.0026017031632363796,0.006353012751787901,1,mendukung_prediksi
17,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,197,dapat,0.002283670473843813,0.005628581158816814,1,mendukung_prediksi
18,55,416,KMP-04377,correct_high_confidence,3,tekno,3,tekno,6958,mendapatkannya,0.000393461697967723,0.003249863628298044,1,mendukung_prediksi
1,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,1208,fa,0.06294631212949753,0.17705794423818588,2,mendukung_prediksi
2,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,6259,banding,0.07208964228630066,0.16056348010897636,2,mendukung_prediksi
3,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,8608,mudryk,0.026551265036687255,0.12515592575073242,2,mendukung_prediksi
4,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,11,ke,0.022953270934522152,0.10331770405173302,2,mendukung_prediksi
5,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,9603,doping,0.0521733183413744,0.10248763486742973,2,mendukung_prediksi
6,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,12235,mykhailo,-0.01680280570872128,0.10165885463356972,2,menahan_prediksi
7,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,3512,cas,0.03255258407443762,0.09715962037444115,2,mendukung_prediksi
8,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,2356,mengajukan,0.037839241325855255,0.0767136737704277,1,mendukung_prediksi
9,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,829,bergerak,0.013409526087343693,0.07085233181715012,1,mendukung_prediksi
10,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,156,karena,0.03192043676972389,0.06414586305618286,1,mendukung_prediksi
11,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,67,setelah,0.016515133902430534,0.05830438435077667,1,mendukung_prediksi
12,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,766,empat,-0.01654817909002304,0.05258461833000183,1,menahan_prediksi
13,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,816,sanksi,0.014898275956511497,0.052109237760305405,1,mendukung_prediksi
14,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,490,imbas,-0.011341376230120659,0.047579310834407806,1,menahan_prediksi
15,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,2113,ajukan,0.013679980300366879,0.044716935604810715,1,mendukung_prediksi
16,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,2949,menjatuhkan,-0.0028933121357113123,0.043830156326293945,1,menahan_prediksi
17,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,137,langsung,-0.001866317237727344,0.04375266283750534,1,menahan_prediksi
18,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,10,untuk,-0.01346665620803833,0.04292485862970352,1,menahan_prediksi
19,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,63,tahun,0.005800875835120678,0.04289597272872925,1,mendukung_prediksi
20,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,725,kasus,-0.018837641924619675,0.04171264171600342,1,menahan_prediksi
21,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,9655,disanksi,0.02361178956925869,0.03927913308143616,1,mendukung_prediksi
22,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,1761,terima,0.01686202362179756,0.02403189428150654,1,mendukung_prediksi
23,29,806,KMP-08215,incorrect_high_confidence,0,bola,2,money,28,tak,0.0030543655157089233,0.007483952678740025,1,mendukung_prediksi
1,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,641,perkuat,0.20021817088127136,0.21020954847335815,1,mendukung_prediksi
2,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,2801,hong,0.10461093112826347,0.15828817710280418,3,mendukung_prediksi
3,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,5,2026,0.06496259570121765,0.14194940775632858,2,mendukung_prediksi
4,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,4527,kong,0.051807986572384834,0.12201789021492004,3,mendukung_prediksi
